system:index,CellCode,LATITUDE,LONGITUDE,PLOTID,batch,constant,country,stratum,.geo
000000000000000011dd_0,73573979,47.28278630512882,16.01334539491943,a16-01334539491943_47-28278630512882,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000131e_0,73573979,48.15279082739763,15.41257040744973,a15-41257040744973_48-15279082739763,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000018e1_0,73573979,47.47057312757064,15.35722495482059,a15-35722495482059_47-47057312757064,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f4_0,78858557,47.7645137212755,16.46842739128919,a16-46842739128919_47-7645137212755,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d76_0,78858557,47.60126323290478,16.60459441265861,a16-60459441265861_47-60126323290478,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000119f_0,78858557,47.95806955265211,16.43884377929237,a16-43884377929237_47-95806955265211,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001571_0,78858557,48.03400193209227,16.77012320061423,a16-77012320061423_48-03400193209227,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001bae_0,78858557,47.80256820414376,16.99430360388556,a16-99430360388556_47-80256820414376,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e3e_0,78858557,47.94178151027307,17.00213519054353,a17-00213519054353_47-94178151027307,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000027b0_0,78858557,47.60813447476242,16.4931942322858,a16-4931942322858_47-60813447476242,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000559_0,88898784,48.19542857332252,15.50385544877892,a15-50385544877892_48-19542857332252,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
