selectedName,sessionID,REFID,INDEX,verification,baseline_land_use,change_type,change_type_2,confidence,timespent,notes,starred,PLOTID
ioanna_petsiou,1738794859766,a26-62534357877329_58-31163561439083,16,no,built,NA,NA,very certain,90.951,NA,FALSE,a26-62534357877329_58-31163561439083
ioanna_petsiou,1738794859766,a-4-51075011174177_56-97912177096484,17,no,shrubland,NA,NA,moderately certain,442.56,NA,FALSE,a-4-51075011174177_56-97912177096484
ioanna_petsiou,1738794859766,a16-6920964889298_46-74599914410229,18,no,cropland,NA,NA,very certain,349.628,"The most recent photo is from 2022, therefore we cant be sure nothing was built in 2023.",FALSE,a16-6920964889298_46-74599914410229
claudia_vallentin,1738829948150,a19-57867294617125_51-89395229221719,0,yes,bareland,Commerce and Services,NA,very certain,99.984,NA,FALSE,a19-57867294617125_51-89395229221719
claudia_vallentin,1738829948150,a20-40164497370126_47-76057128120113,1,yes,cropland,Industry and Manufacturing,NA,very certain,96.872,NA,FALSE,a20-40164497370126_47-76057128120113
claudia_vallentin,1738829948150,a17-45550761565058_49-94400774399315,2,no,forest,NA,NA,very certain,41.107,NA,FALSE,a17-45550761565058_49-94400774399315
claudia_vallentin,1738829948150,a21-01488268989312_47-83216785138839,3,no,forest,NA,NA,very certain,27.214,NA,FALSE,a21-01488268989312_47-83216785138839
claudia_vallentin,1738829948150,a12-01658922900457_52-28498086849424,4,no,uncertain,NA,NA,moderately certain,38.914,NA,FALSE,a12-01658922900457_52-28498086849424
claudia_vallentin,1738829948150,a5-27101729765056_52-24995691713872,5,no,grassland/wetland,NA,NA,very certain,20.035,NA,FALSE,a5-27101729765056_52-24995691713872
claudia_vallentin,1738829948150,a14-553548989316_46-12425285102383,6,yes,forest,Industry and Manufacturing,Commerce and Services,very certain,78.88,NA,FALSE,a14-553548989316_46-12425285102383
claudia_vallentin,1738829948150,a15-4414524509803_48-13315204241994,7,no,cropland,NA,NA,very certain,23.144,NA,FALSE,a15-4414524509803_48-13315204241994
claudia_vallentin,1738829948150,a-3-8107831017725_53-19541171049636,8,no,grassland/wetland,NA,NA,very certain,220.311,NA,FALSE,a-3-8107831017725_53-19541171049636
